Channel,Name,timestamp,tempC,pressurehPa,total_tips_since_start,volume_this_tipml,total_vol_since_startml,tips_this_day,vol_this_dayml,tips_this_hour,vol_this_hourml,net_gas_attributable_to_test_sample_since_startmlg
7,sleepy,102229,22.50,1002.13,1,4.72,4.72,1,4.72,1,4.72,1.21
5,sneezy,188350,23.25,1002.05,1,4.56,4.56,1,4.56,1,4.56,1.88
