datetime,temperature_degC,probe_id
2022-12-20 15:50:26,34.19,TC
2022-12-20 15:55:27,33.06,TD
2022-12-20 15:55:27,37.50,TA
2022-12-20 15:55:27,36.44,TB
2022-12-20 15:55:27,34.19,TC
2022-12-20 16:00:28,33.06,TD
2022-12-20 16:00:28,37.56,TA
2022-12-20 16:00:28,36.44,TB
2022-12-20 16:00:28,34.19,TC
2022-12-20 16:05:29,33.13,TD
2022-12-20 16:05:29,37.56,TA
2022-12-20 16:05:29,36.44,TB
2022-12-20 16:05:29,34.25,TC
2022-12-20 16:10:30,33.06,TD
2022-12-20 16:10:30,37.50,TA
2022-12-20 16:10:30,36.44,TB
2022-12-20 16:10:30,34.19,TC
2022-12-20 16:15:31,33.00,TD
2022-12-20 16:15:31,37.50,TA
2022-12-20 16:15:31,36.44,TB
2022-12-20 16:15:31,34.25,TC
2022-12-20 16:20:32,33.00,TD
2022-12-20 16:20:32,37.50,TA
2022-12-20 16:20:32,36.44,TB
2022-12-20 16:20:32,34.13,TC
2022-12-20 16:25:33,33.06,TD
2022-12-20 16:25:33,37.50,TA
2022-12-20 16:25:33,36.44,TB
2022-12-20 16:25:33,34.19,TC
2022-12-20 16:30:34,33.06,TD
2022-12-20 16:30:34,37.56,TA
2022-12-20 16:30:34,36.44,TB
2022-12-20 16:30:34,34.19,TC
2022-12-20 16:35:35,33.06,TD
2022-12-20 16:35:35,37.56,TA
2022-12-20 16:35:35,36.44,TB
2022-12-20 16:35:35,34.19,TC
2022-12-20 16:40:35,33.06,TD
2022-12-20 16:40:36,37.56,TA
2022-12-20 16:40:36,36.50,TB
2022-12-20 16:40:36,34.19,TC
2022-12-20 16:45:36,33.13,TD
2022-12-20 16:45:37,37.56,TA
2022-12-20 16:45:37,36.44,TB
2022-12-20 16:45:37,34.19,TC
2022-12-20 16:50:37,33.13,TD
2022-12-20 16:50:38,37.56,TA
2022-12-20 16:50:38,36.50,TB
2022-12-20 16:50:38,34.19,TC
2022-12-20 16:55:38,33.06,TD
2022-12-20 16:55:39,37.56,TA
2022-12-20 16:55:39,36.50,TB
2022-12-20 16:55:39,34.31,TC
2022-12-20 17:00:39,33.06,TD
